MatchId,BotType,Result,TimeMs,TotalClicks
0001,RandomBot,DEFEAT,3,10
0002,RandomBot,DEFEAT,0,7
0003,RandomBot,DEFEAT,0,5
0004,RandomBot,DEFEAT,0,3
0005,RandomBot,DEFEAT,1,6
0006,RandomBot,DEFEAT,0,3
0007,RandomBot,DEFEAT,0,2
0008,RandomBot,DEFEAT,0,6
0009,RandomBot,DEFEAT,0,4
0010,RandomBot,DEFEAT,0,2
0011,RandomBot,DEFEAT,0,3
0012,RandomBot,DEFEAT,0,4
0013,RandomBot,DEFEAT,0,3
0014,RandomBot,DEFEAT,0,1
0015,RandomBot,DEFEAT,1,2
0016,RandomBot,DEFEAT,0,4
0017,RandomBot,DEFEAT,0,7
0018,RandomBot,DEFEAT,0,8
0019,RandomBot,DEFEAT,1,6
0020,RandomBot,DEFEAT,0,1
0021,RandomBot,DEFEAT,0,7
0022,RandomBot,DEFEAT,0,7
0023,RandomBot,DEFEAT,0,5
0024,RandomBot,VICTORY,0,7
0025,RandomBot,DEFEAT,0,3
0026,RandomBot,DEFEAT,0,4
0027,RandomBot,DEFEAT,0,4
0028,RandomBot,DEFEAT,0,6
0029,RandomBot,DEFEAT,0,7
0030,RandomBot,DEFEAT,0,3
0031,RandomBot,DEFEAT,0,2
0032,RandomBot,DEFEAT,0,5
0033,RandomBot,DEFEAT,0,2
0034,RandomBot,DEFEAT,0,5
0035,RandomBot,DEFEAT,0,1
0036,RandomBot,DEFEAT,0,6
0037,RandomBot,DEFEAT,0,12
0038,RandomBot,DEFEAT,0,6
0039,RandomBot,DEFEAT,0,1
0040,RandomBot,DEFEAT,0,4
0041,RandomBot,DEFEAT,0,3
0042,RandomBot,DEFEAT,0,7
0043,RandomBot,DEFEAT,0,5
0044,RandomBot,DEFEAT,0,4
0045,RandomBot,DEFEAT,0,3
0046,RandomBot,DEFEAT,0,3
0047,RandomBot,DEFEAT,0,4
0048,RandomBot,DEFEAT,0,3
0049,RandomBot,DEFEAT,0,4
0050,RandomBot,DEFEAT,0,4
0051,RandomBot,DEFEAT,0,5
0052,RandomBot,DEFEAT,0,5
0053,RandomBot,DEFEAT,0,4
0054,RandomBot,DEFEAT,0,3
0055,RandomBot,DEFEAT,0,6
0056,RandomBot,DEFEAT,0,4
0057,RandomBot,DEFEAT,0,6
0058,RandomBot,DEFEAT,0,1
0059,RandomBot,DEFEAT,0,9
0060,RandomBot,DEFEAT,0,5
0061,RandomBot,DEFEAT,0,5
0062,RandomBot,DEFEAT,0,2
0063,RandomBot,DEFEAT,0,3
0064,RandomBot,DEFEAT,0,4
0065,RandomBot,DEFEAT,0,3
0066,RandomBot,DEFEAT,0,4
0067,RandomBot,DEFEAT,0,6
0068,RandomBot,DEFEAT,0,2
0069,RandomBot,DEFEAT,0,3
0070,RandomBot,DEFEAT,0,1
0071,RandomBot,DEFEAT,0,11
0072,RandomBot,DEFEAT,0,6
0073,RandomBot,DEFEAT,0,5
0074,RandomBot,DEFEAT,0,4
0075,RandomBot,DEFEAT,0,2
0076,RandomBot,DEFEAT,0,1
0077,RandomBot,DEFEAT,0,11
0078,RandomBot,DEFEAT,0,1
0079,RandomBot,DEFEAT,0,5
0080,RandomBot,DEFEAT,0,12
0081,RandomBot,DEFEAT,0,5
0082,RandomBot,DEFEAT,0,10
0083,RandomBot,DEFEAT,0,5
0084,RandomBot,DEFEAT,0,5
0085,RandomBot,DEFEAT,1,3
0086,RandomBot,DEFEAT,0,6
0087,RandomBot,DEFEAT,0,6
0088,RandomBot,DEFEAT,0,2
0089,RandomBot,DEFEAT,0,3
0090,RandomBot,DEFEAT,0,6
0091,RandomBot,DEFEAT,0,8
